00001000,LEGO Star Wars Advent Calendar 75184 Building Kit (309 Piece),Toys & Games,39.99,1000
00001001,Hatchimals - CollEGGtibles 4-Pack + Bonus,Toys & Games,9.99,740
00001002,What Do You Meme? Adult Party Game,Toys & Games,29.99,880
00001003,5 Second Rule,Toys & Games,13.99,310
00001004,Cards Against Humanity,Toys & Games,25.00,270
00002005,Fire TV Stick with Alexa Voice Remote | Streaming Media Player,Electronics,39.99,180
00002006,Echo Dot (2nd Generation) - Black,Electronics,49.99,90
00002007,Echo Dot (2nd Generation) - White,Electronics,49.99,120
00002008,All-New Fire 7 Kids Edition Tablet 747 7" Display,Electronics,99.99,110
00002009,All-new Echo (2nd Generation) – Charcoal Fabric,Electronics,99.99,70
00003010,Fujifilm INSTAX Mini Instant Film Twin Pack (White),Camera & Photo,12.49,700
00003011,Fujifilm Instax Mini Instant Film (3 Twin Packs 60 Total Pictures) - International Version,Camera & Photo,39.36,300
00003012,Crosstour 4K Sports Action Camera WIFI 16MP Ultra HD Waterproof Underwater Camcorder,Camera & Photo,229.99,90
00003013,Fujifilm Instax Mini 9 - Ice Blue Instant Camera,Camera & Photo,69.00,40
00003014,Fujifilm Instax Mini Film Value Pack - 60 Images,Camera & Photo,39.99,280
00004015,Horizon Zero Dawn - PlayStation 4,Video Games,19.99,120
00004016,Xbox One X 1TB Limited Edition Console - Project Scorpio Edition,Video Games,499.00,2000
00004017,1 Year PlayStation Plus Membership,Video Games,59.99,430
00004018,Super Mario Odyssey - Nintendo Switch,Video Games,59.99,230
00004019,$20 PlayStation Store Gift Card,Video Games,19.99,710
00005020,Milk and Vine: Inspirational Quotes From Classic Vines by Adam Gasiewski & Emily Beck,Books,3.03,40
00005021,Obama: An Intimate Portrait Hardcover – Nby Pete Souza,Books,28.99,50
00005022,The Getaway (Diary of a Wimpy Kid Book 12) Hardcover – by Jeff Kinney,Books,7.00,20
00005023,Wonder Hardcover – by R. J. Palacio,Books,10.69,30
00005024,The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations by Oprah Winfrey,Books,17.68,20
